FST info: dumpfile ReLU_tb.vcd opened for output.
+-------------------------------------------------------------------------------+
|  TIME  |                IN                ||                OUT               |
+-------------------------------------------------------------------------------+
+-------------------------------------------------------------------------------+
|                               Test Case n* 1                                  |
+-------------------------------------------------------------------------------+
| 000000 | 01001001000010101001101010010010 || 01001001000010101001101010010010 |
| 000010 | 00100000010001001010111101000000 || 00100000010001001010111101000000 |
| 000020 | 00000010010000100110101100000100 || 00000010010000100110101100000100 |
| 000030 | 00011000111110000010101100110001 || 00011000111110000010101100110001 |
| 000040 | 01000011010111001011110110000110 || 01000011010111001011110110000110 |
| 000050 | 01100011011011111100110011000110 || 01100011011011111100110011000110 |
| 000060 | 00011001011000010100001000110010 || 00011001011000010100001000110010 |
| 000070 | 00000100100110111010100100001001 || 00000100100110111010100100001001 |
| 000080 | 01000000011110011111000110000000 || 01000000011110011111000110000000 |
| 000090 | 01000011011010111110011010000110 || 01000011011010111110011010000110 |
| 000100 | 01011101100100011111100010111011 || 01011101100100011111100010111011 |
| 000110 | 01001111010001101110011010011110 || 01001111010001101110011010011110 |
| 000120 | 01111011011010100010101111110110 || 01111011011010100010101111110110 |
| 000130 | 01100011000101101111101111000110 || 01100011000101101111101111000110 |
| 000140 | 01111110011111101111010011111100 || 01111110011111101111010011111100 |
| 000150 | 00110001100110111001001001100011 || 00110001100110111001001001100011 |
| 000160 | 00110001011110111100001001100010 || 00110001011110111100001001100010 |
| 000170 | 00101010100010011110100101010101 || 00101010100010011110100101010101 |
| 000180 | 01111001010101111111101111110010 || 01111001010101111111101111110010 |
| 000190 | 00011101111010010011100100111011 || 00011101111010010011100100111011 |
| 000200 | 00000100100110010110101100001001 || 00000100100110010110101100001001 |
| 000210 | 01100011111101100110110111000111 || 01100011111101100110110111000111 |
| 000220 | 01111100100110000011010011111001 || 01111100100110000011010011111001 |
| 000230 | 00110011101110110100101101100111 || 00110011101110110100101101100111 |
| 000240 | 00111010000000000011110101110100 || 00111010000000000011110101110100 |
| 000250 | 00110001011001010010011101100010 || 00110001011001010010011101100010 |
| 000260 | 01010111001011000010010010101110 || 01010111001011000010010010101110 |
| 000270 | 00101111010001110001010001011110 || 00101111010001110001010001011110 |
| 000280 | 00001011010101011010110000010110 || 00001011010101011010110000010110 |
| 000290 | 00011001010100111001001100110010 || 00011001010100111001001100110010 |
| 000300 | 00011000111101111011000100110001 || 00011000111101111011000100110001 |
| 000310 | 01000010101110011100001110000101 || 01000010101110011100001110000101 |
| 000320 | 00100000000111011001000101000000 || 00100000000111011001000101000000 |
| 000330 | 01001000001100100001000010010000 || 01001000001100100001000010010000 |
| 000340 | 01101010101111000010001011010101 || 01101010101111000010001011010101 |
| 000350 | 00100111011001100110011001001110 || 00100111011001100110011001001110 |
| 000360 | 00100101100100000001111101001011 || 00100101100100000001111101001011 |
| 000370 | 00000100110000011101110000001001 || 00000100110000011101110000001001 |
| 000380 | 00000011010111100001110000000110 || 00000011010111100001110000000110 |
| 000390 | 00010100110100111110101100101001 || 00010100110100111110101100101001 |
| 000400 | 01011010110011111110111010110101 || 01011010110011111110111010110101 |
| 000410 | 00110101010100110001010101101010 || 00110101010100110001010101101010 |
